ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0065002	GO:0065002	intracellular protein transmembrane transport	43	0.344164502704576	1.42498585610164	0.0553250345781466	0.340027298137259	0.302435425026531	5098	tags=51%, list=33%, signal=34%	PEX12/AIFM1/TIMM17B/TOMM40L/PEX2/ZFAND2B/TIMM17A/PEX5/TRAM2/SEC61A2/PEX10/TIMM21/PEX16/TIMM50/TRIM37/PEX14/HSPA5/USP9X/GRPEL2/TRAM1/LONP2/PEX26
GO:0071305	GO:0071305	cellular response to vitamin D	18	0.457609148209643	1.52317220885933	0.0563165905631659	0.341771922183508	0.30398717136522	2804	tags=39%, list=18%, signal=32%	CYP24A1/VDR/FES/TNC/BGLAP/RXRB/GDAP1
GO:0046753	GO:0046753	non-lytic viral release	12	0.505739396659046	1.51929519901545	0.0564024390243902	0.341771922183508	0.30398717136522	6169	tags=75%, list=40%, signal=45%	CHMP1A/CHMP7/CHMP1B/CHMP6/CHMP2A/VPS4A/CHMP5/CHMP3/CHMP4B
GO:0046761	GO:0046761	viral budding from plasma membrane	12	0.505739396659046	1.51929519901545	0.0564024390243902	0.341771922183508	0.30398717136522	6169	tags=75%, list=40%, signal=45%	CHMP1A/CHMP7/CHMP1B/CHMP6/CHMP2A/VPS4A/CHMP5/CHMP3/CHMP4B
GO:0006883	GO:0006883	intracellular sodium ion homeostasis	17	-0.401738024999676	-1.49968783181738	0.0560541300642718	0.341771922183508	0.30398717136522	3015	tags=41%, list=20%, signal=33%	ATP1A3/ATP1A4/SCNN1G/IL1A/FXYD2/ATP1A2/ATP12A
GO:0018146	GO:0018146	keratan sulfate biosynthetic process	14	0.480896027485501	1.49696550233906	0.0561456752655539	0.341771922183508	0.30398717136522	3017	tags=43%, list=20%, signal=34%	B4GAT1/B3GNT3/ST3GAL2/ST3GAL6/CHST6/ST3GAL3
GO:0006476	GO:0006476	protein deacetylation	46	0.342486881226666	1.45151056389147	0.0560747663551402	0.341771922183508	0.30398717136522	6826	tags=63%, list=44%, signal=35%	NDN/SIRT3/MIER2/SIRT4/SIRT7/KAT2A/SUV39H1/CCAR2/MTA3/FLNA/MBIP/BEX4/SGF29/TADA3/KAT14/MTA1/HDAC1/BAZ2A/HDAC10/SIRT5/HDAC6/SIRT6/RRP8/PRKAA1/DYRK1A/SPRED2/NNMT/HDAC2/SIRT2
GO:0071320	GO:0071320	cellular response to cAMP	36	-0.302081445938386	-1.4440334684784	0.055702402657688	0.341771922183508	0.30398717136522	1963	tags=28%, list=13%, signal=24%	WNT10B/HCN4/AQP8/HCN2/PIK3CG/SLC5A5/AHR/KCNE1/AQP9/PTAFR
GO:0050853	GO:0050853	B cell receptor signaling pathway	62	0.32141486451835	1.43573891209536	0.0559254327563249	0.341771922183508	0.30398717136522	2757	tags=32%, list=18%, signal=27%	IGHG1/BTK/CD79A/IGHG4/CTLA4/ABL1/BLNK/PTPRC/FCGR2B/IGHM/PTPN6/NFAM1/GCSAM/IGKC/PLCL2/PTPN22/IGHA2/PLEKHA1/IGLC3/LPXN
GO:0031123	GO:0031123	RNA 3'-end processing	67	0.315824283464943	1.43017322259062	0.0561357702349869	0.341771922183508	0.30398717136522	6006	tags=52%, list=39%, signal=32%	ERI2/INTS7/APLP1/CPSF3/CSTF1/EXOSC2/EXOSC5/PTCD1/TUT1/LEO1/PAPOLG/INTS6L/PARN/RPRD2/ELAC2/GRSF1/INTS9/INTS1/MBLAC1/PAF1/ERI3/CSTF2/CDC73/INTS2/VIRMA/EXOSC3/ELAC1/POLR2D/ZC3H3/USB1/DKC1/INTS14/CSTF2T/SLBP/PNPT1
GO:0019362	GO:0019362	pyridine nucleotide metabolic process	69	0.310220772354562	1.40998722334103	0.0559895833333333	0.341771922183508	0.30398717136522	6873	tags=68%, list=45%, signal=38%	NUDT17/FMO5/MLST8/G6PD/NQO1/QPRT/LDHB/AFMID/NOCT/PARP10/KYNU/HAAO/MTOR/GPD1/PARP16/RPE/NAPRT/ME1/ALDH1L1/PGLS/NMNAT2/NAXE/NMNAT1/ALDOB/PGAM1/MDH2/NUDT12/TP53I3/IDH1/TALDO1/NNT/PGD/VCP/TP53/DCXR/IDH2/PARP9/NADSYN1/GPD1L/DERA/NMRK1/NADK2/TKT/MDH1/NNMT/ME2/NOX1
GO:0046496	GO:0046496	nicotinamide nucleotide metabolic process	69	0.310220772354562	1.40998722334103	0.0559895833333333	0.341771922183508	0.30398717136522	6873	tags=68%, list=45%, signal=38%	NUDT17/FMO5/MLST8/G6PD/NQO1/QPRT/LDHB/AFMID/NOCT/PARP10/KYNU/HAAO/MTOR/GPD1/PARP16/RPE/NAPRT/ME1/ALDH1L1/PGLS/NMNAT2/NAXE/NMNAT1/ALDOB/PGAM1/MDH2/NUDT12/TP53I3/IDH1/TALDO1/NNT/PGD/VCP/TP53/DCXR/IDH2/PARP9/NADSYN1/GPD1L/DERA/NMRK1/NADK2/TKT/MDH1/NNMT/ME2/NOX1
GO:0043647	GO:0043647	inositol phosphate metabolic process	35	-0.296919934760838	-1.40943118645891	0.0563802241351193	0.341771922183508	0.30398717136522	4634	tags=54%, list=30%, signal=38%	P2RY6/PRKG1/SNCA/INPP4B/IPPK/PPIP5K1/PTH1R/NUDT10/NUDT4B/LHCGR/ADCYAP1R1/MAS1/INPP5J/HRH1/P2RY1/NUDT11/PLCG2/ITPKC/PTAFR
GO:0032456	GO:0032456	endocytic recycling	70	0.308132638431042	1.40424714981152	0.0562091503267974	0.341771922183508	0.30398717136522	6943	tags=66%, list=45%, signal=36%	AKAP5/DENND1C/CCDC22/SNX27/EHD2/SNX17/SNX3/BVES/VPS35L/DENND1B/VPS53/STX16/CCDC93/PLA2G3/ATP6AP1/VPS39/WIPF3/SNX4/EIPR1/RAB7A/VPS52/PTPN23/INPP5F/ARHGAP1/RAB11FIP3/RAB8A/ANKRD27/VPS13B/MICALL2/VAMP4/RAB13/SNF8/VPS35/VPS51/ARF6/RAB11B/RAB17/ARL4C/SNX12/VPS50/WASHC1/ENTR1/SORL1/VTI1A/ARHGAP8/EPS15
GO:0043268	GO:0043268	positive regulation of potassium ion transport	34	-0.306142854107256	-1.43991691186711	0.056763763074814	0.34358952373609	0.305603827148728	2124	tags=35%, list=14%, signal=30%	OPRK1/LRRC55/GAL/LRRC26/FXYD2/NOS1AP/ADRA2A/KCNC1/KCNE1/DRD1/KCNIP2/KCNJ2
GO:0007216	GO:0007216	G protein-coupled glutamate receptor signaling pathway	12	-0.463795976272491	-1.53665393602414	0.0569231690707228	0.343811028723816	0.305800843551456	3679	tags=67%, list=24%, signal=51%	GRIK3/GRM7/GRM2/GRM3/GRM8/GRM1/GRM5/TRPM1
GO:0018904	GO:0018904	ether metabolic process	15	0.464709289249731	1.48930726139551	0.0568862275449102	0.343811028723816	0.305800843551456	4014	tags=47%, list=26%, signal=35%	PLA2G10/PLA2G7/EPHX3/AGPS/EPHX2/GNPAT/LPCAT2
GO:0070542	GO:0070542	response to fatty acid	46	-0.277956261786627	-1.36632920808748	0.0570635861708437	0.344287735959648	0.306224848201295	2575	tags=33%, list=17%, signal=27%	FFAR3/PCSK1/KCNK4/NR1H4/PDX1/FFAR1/UCP1/ZC3H12A/AKR1C1/GLDC/PDK3/PTGS2/LDLR/AKR1C2/PTAFR
GO:0034587	GO:0034587	piRNA processing	16	-0.425818171505672	-1.54141370195934	0.0572115899771033	0.344307761400521	0.306242659720414	3423	tags=62%, list=22%, signal=49%	PNLDC1/FKBP6/PIWIL1/TDRD9/ASZ1/EXD1/TDRD1/MOV10L1/PIWIL2/PIWIL4
GO:0099084	GO:0099084	postsynaptic specialization organization	37	-0.303747138803841	-1.46793944290194	0.0572513887951215	0.344307761400521	0.306242659720414	2979	tags=35%, list=19%, signal=28%	SHANK3/NTNG2/CBLN1/GAP43/GRID2/C1QL3/PTPRD/CNTNAP1/NLGN1/ABI3/LRRTM2/LRRC4/NRXN1
GO:0051053	GO:0051053	negative regulation of DNA metabolic process	106	0.27383302714895	1.35648422934992	0.0572472594397077	0.344307761400521	0.306242659720414	6807	tags=55%, list=44%, signal=31%	ANKRD1/CDC6/XRCC1/TTF1/POT1/ABL1/SLX4/MAGEF1/DFFB/MCIDAS/MSH2/TERF1/GATA3/ZRANB3/ACD/SRC/UBQLN4/DACH1/SHLD1/TNKS/NUDT16L1/TIPIN/RGN/RAD50/LIG3/TFIP11/BLM/MEN1/ACVRL1/NMNAT1/PARP3/PARP1/RAD17/FBH1/SMG6/CYREN/TIMELESS/FLCN/SLX1A/NAT10/TERF2IP/DFFA/TERF2/TP53/NDFIP1/CTC1/TINF2/KLHL15/BCL6/HNRNPC/SLFN11/HNRNPU/FOXP3/ERCC1/SENP3/KAT5/PARPBP/MAD2L2
GO:0009185	GO:0009185	ribonucleoside diphosphate metabolic process	24	0.415135782255043	1.5051193241768	0.0574374079528719	0.344435689491788	0.306356444663173	6377	tags=71%, list=41%, signal=42%	ENTPD2/MPP1/NUDT18/NT5E/ENTPD5/BAD/TJP2/CARD11/RRM1/CAD/MAGI3/AK1/RRM2/AK2/CMPK1/AK3/LRGUK
GO:0006661	GO:0006661	phosphatidylinositol biosynthetic process	108	0.277193086307423	1.37582335134714	0.0574572127139364	0.344435689491788	0.306356444663173	4343	tags=40%, list=28%, signal=29%	PIP5KL1/PIGS/PIGV/BPNT1/PIGH/PIGQ/INPP5D/OCRL/PIK3C2B/GPAA1/FIG4/PITPNM3/CDS1/PIP4K2C/CDIPT/DGKE/SOCS5/ITPKB/PIGM/DPM3/MTMR4/MTM1/VAC14/BECN1/INPP4A/MTMR1/ITPKA/PIGW/MPPE1/PI4KB/SLC27A1/PIGK/PIK3CA/SH3YL1/MTMR7/PI4K2B/PGAP2/PIGC/PIGB/PIGT/INPP5F/SYNJ1/INPP5K
GO:2000779	GO:2000779	regulation of double-strand break repair	108	0.277179836556884	1.37575758738299	0.0574572127139364	0.344435689491788	0.306356444663173	4803	tags=41%, list=31%, signal=28%	OOEP/FMN2/POT1/RAD51AP1/ABL1/MAGEF1/MRGBP/KMT5C/SLF2/SPIDR/MORF4L2/RPA2/UBQLN4/FIGNL1/SHLD1/BCL7C/PML/NUDT16L1/WAS/MRNIP/DPF1/SPIRE2/DMAP1/BRD7/ZNF365/PIAS4/HELQ/TFIP11/RUVBL1/USP51/SMARCE1/DPF2/WRAP53/SPIRE1/PPP4R3B/YEATS4/PARP3/PARP1/MMS19/FBH1/CYREN/FUS/TIMELESS/DEK
GO:1904666	GO:1904666	regulation of ubiquitin protein ligase activity	12	0.503363198197466	1.51215684487806	0.0579268292682927	0.345034379865075	0.30688894654904	1740	tags=33%, list=11%, signal=30%	MAD2L1/BAG2/CDC20/PLK1
GO:0090178	GO:0090178	regulation of establishment of planar polarity involved in neural tube closure	12	0.502786459361328	1.5104242597747	0.0579268292682927	0.345034379865075	0.30688894654904	2241	tags=42%, list=15%, signal=36%	SFRP2/FZD1/FZD2/DVL1/DVL2
GO:0045060	GO:0045060	negative thymic T cell selection	12	0.502034428471955	1.5081650786089	0.0579268292682927	0.345034379865075	0.30688894654904	2533	tags=42%, list=16%, signal=35%	CCR7/PTPRC/CD74/ZAP70/ATG5
GO:0009950	GO:0009950	dorsal/ventral axis specification	12	0.501693437908772	1.50714070651336	0.0579268292682927	0.345034379865075	0.30688894654904	2787	tags=42%, list=18%, signal=34%	CXXC4/SMAD6/AXIN2/WNT3/AXIN1
GO:0072665	GO:0072665	protein localization to vacuole	61	0.320349923416634	1.42400533749462	0.0578734858681023	0.345034379865075	0.30688894654904	6903	tags=67%, list=45%, signal=37%	VPS37C/VPS37D/AP4M1/SNX16/SZT2/NAGPA/MFSD1/MVB12A/VPS54/LAMTOR1/BECN1/VPS53/AP3M1/GLMP/GCC2/VPS25/RTN4/LAMP2/RAB7A/PTPN23/VPS4A/STAM/TSG101/RRAGA/SCARB2/LAPTM5/SNF8/MON1B/PIK3R4/VPS41/CACNG4/SQSTM1/ZFYVE16/LMBRD1/VPS8/AP3D1/ATG14/KPTN/SORL1/GNPTG/VPS37A
GO:0051348	GO:0051348	negative regulation of transferase activity	170	0.249667252102749	1.32630867956408	0.057757644394111	0.345034379865075	0.30688894654904	4672	tags=38%, list=30%, signal=27%	RGS14/HEXIM2/MAD2L1/XRCC1/AIDA/DTNBP1/CDKN2A/BAG2/PPARG/TRIB3/CEP85/POT1/CEACAM1/ABL1/AGT/TARBP2/PTPRC/CDK5RAP3/SMPD1/TERF1/SRCIN1/DEPTOR/MVP/PLK1/PKIB/DVL1/SRC/PPP2R5A/SOCS5/TSC2/PTPRQ/EPHB2/PTPN22/SPRY1/DUSP22/SPRY4/SMCR8/PRDX3/VPS25/PRKN/CDKN1B/TFAP4/PDPK1/BAG5/PKIG/LATS1/HYAL2/HEXIM1/CHMP6/MEN1/NF1/APC/TAF7/FOXA2/PARP3/SERPINB3/GSKIP/INPP5K/AKT1S1/PTPRB/NR2F2/MAPK8IP1/CEBPA/TSG101
GO:0042339	GO:0042339	keratan sulfate metabolic process	16	0.476074632883843	1.53736028024115	0.0588235294117647	0.34513143948221	0.306975275695911	3017	tags=44%, list=20%, signal=35%	B4GAT1/B3GNT3/ST3GAL2/GLB1/ST3GAL6/CHST6/ST3GAL3
GO:0016540	GO:0016540	protein autoprocessing	25	0.417538062500324	1.53207076198278	0.0583090379008746	0.34513143948221	0.306975275695911	4072	tags=48%, list=26%, signal=35%	CASP6/ASRGL1/CTSL/PIDD1/MYRF/PCSK9/F12/CTSE/HTRA2/OMA1/SHH/PARP1
GO:0042474	GO:0042474	middle ear morphogenesis	16	0.472501443690146	1.52582158701799	0.0588235294117647	0.34513143948221	0.306975275695911	1675	tags=31%, list=11%, signal=28%	OSR2/GSC/OSR1/PRKRA/PRRX1
GO:0051255	GO:0051255	spindle midzone assembly	12	-0.458538482103901	-1.51923474844791	0.0595302875912468	0.34513143948221	0.306975275695911	1414	tags=75%, list=9%, signal=68%	CCDC69/LZTS2/MAP10/PRC1/CDCA8/KIF4A/AURKB/AURKC/KIF23
GO:0070979	GO:0070979	protein K11-linked ubiquitination	27	0.404569010901074	1.50998610530864	0.0584795321637427	0.34513143948221	0.306975275695911	4669	tags=52%, list=30%, signal=36%	UBE2T/ANAPC1/ANAPC7/ANAPC13/ANAPC4/AREL1/CDC27/RNF4/PRKN/UBE2A/UBE2E3/RNF26/CDC16/CDC26
GO:0006027	GO:0006027	glycosaminoglycan catabolic process	22	0.427324459729349	1.50836796622595	0.0582089552238806	0.34513143948221	0.306975275695911	4078	tags=45%, list=26%, signal=33%	LYG1/CEMIP/FUCA1/SGSH/GUSB/GLB1/HEXB/IDS/HYAL2/HMMR
GO:0035437	GO:0035437	maintenance of protein localization in endoplasmic reticulum	11	0.512299359945873	1.49050693788512	0.0585516178736518	0.34513143948221	0.306975275695911	5058	tags=73%, list=33%, signal=49%	GPAA1/KDELR3/KDELR1/KDELR2/OS9/HSPA5/RER1/INSIG2
GO:0006099	GO:0006099	tricarboxylic acid cycle	28	0.399545938777162	1.48959031678693	0.0583090379008746	0.34513143948221	0.306975275695911	6690	tags=68%, list=43%, signal=38%	IDH3G/DLAT/SDHC/ACO1/CS/SUCLG1/FH/IDH3B/MDH2/IDH1/PDHB/DHTKD1/SDHA/NNT/IDH3A/IDH2/SDHB/SUCLG2/MDH1
GO:0031145	GO:0031145	anaphase-promoting complex-dependent catabolic process	22	0.421412162758315	1.48749876682751	0.0597014925373134	0.34513143948221	0.306975275695911	2194	tags=32%, list=14%, signal=27%	ANAPC1/ANAPC7/ANAPC13/CDC20/ANAPC4/PLK1/CDC27
GO:0043249	GO:0043249	erythrocyte maturation	14	0.477333293407791	1.48587518405087	0.0591805766312595	0.34513143948221	0.306975275695911	3679	tags=43%, list=24%, signal=33%	PLA2G10/G6PD/RHEX/MAEA/BRD1/BAP1
GO:0000212	GO:0000212	meiotic spindle organization	15	0.463260152756471	1.48466304714782	0.0583832335329341	0.34513143948221	0.306975275695911	4400	tags=53%, list=29%, signal=38%	AURKA/TUBG1/TUBG2/DCAF13/WASHC5/ATRX/TUBB8/PPP2R1A
GO:0009313	GO:0009313	oligosaccharide catabolic process	14	0.474665012792914	1.47756918066815	0.0591805766312595	0.34513143948221	0.306975275695911	5535	tags=71%, list=36%, signal=46%	MAN2B1/LCT/NEU1/HEXB/MANBA/MAN2B2/GM2A/MAN2C1/PGD/IDNK
GO:1990403	GO:1990403	embryonic brain development	14	0.47437655354541	1.47667124531901	0.0591805766312595	0.34513143948221	0.306975275695911	1744	tags=29%, list=11%, signal=25%	IFT140/TUBB2B/MKS1/CDK20
GO:0035435	GO:0035435	phosphate ion transmembrane transport	14	0.473916906544234	1.4752404252151	0.0591805766312595	0.34513143948221	0.306975275695911	2408	tags=43%, list=16%, signal=36%	VDR/UCP2/SLC37A2/SLC25A10/SLC37A4/SLC20A2
GO:0051608	GO:0051608	histamine transport	13	0.479159834553544	1.47484810700527	0.0596330275229358	0.34513143948221	0.306975275695911	3700	tags=62%, list=24%, signal=47%	BTK/CSF2/SLC29A4/VAMP7/SLC22A3/PLA2G3/SNX4/SNAP23
GO:0006775	GO:0006775	fat-soluble vitamin metabolic process	31	0.385224536014587	1.46565886739541	0.0583941605839416	0.34513143948221	0.306975275695911	2093	tags=32%, list=14%, signal=28%	CYP24A1/CYP4F12/CYP4F11/BCO1/CYP2R1/LRAT/NQO1/UBIAD1/LGMN/VKORC1
GO:0021515	GO:0021515	cell differentiation in spinal cord	31	0.384302198263056	1.46214966074349	0.0583941605839416	0.34513143948221	0.306975275695911	3861	tags=39%, list=25%, signal=29%	SOX6/TCTN1/SOX13/SCYL3/SOX1/DMRT3/ABT1/DLL4/MNX1/SCYL1/ASCL1/SHH
GO:0044743	GO:0044743	protein transmembrane import into intracellular organelle	31	0.384020952821937	1.46107960980916	0.0598540145985401	0.34513143948221	0.306975275695911	5098	tags=55%, list=33%, signal=37%	PEX12/AIFM1/TIMM17B/TOMM40L/PEX2/TIMM17A/PEX5/PEX10/TIMM21/PEX16/TIMM50/TRIM37/PEX14/USP9X/GRPEL2/LONP2/PEX26
GO:0140374	GO:0140374	antiviral innate immune response	37	0.362284657655348	1.44020668221866	0.0585714285714286	0.34513143948221	0.306975275695911	4433	tags=43%, list=29%, signal=31%	RNF135/IFIT2/CXCL10/IFIT3/NLRP1/OAS1/TRIM65/MX1/IFIH1/TRIM31/NMB/AKAP1/MAVS/ZDHHC1/DUS2/TRIM25
GO:1990806	GO:1990806	ligand-gated ion channel signaling pathway	30	-0.314721076238636	-1.42579858475443	0.0588938442422199	0.34513143948221	0.306975275695911	4539	tags=63%, list=29%, signal=45%	GRID1/GRIN2D/CHRM3/GRIN3B/GRIK3/F2RL2/GRIA3/GRIK4/FFAR2/GRIN2C/PLP1/GRIN3A/FFAR1/GRIK5/GRIK1/GRID2/GRIN2B/GRIK2/GRIN1
GO:0032206	GO:0032206	positive regulation of telomere maintenance	60	0.319471571831323	1.41463069775756	0.0594594594594595	0.34513143948221	0.306975275695911	5831	tags=55%, list=38%, signal=34%	POT1/SLX4/TERF1/UCHL5/PKIB/ACD/MCRS1/NABP2/TNKS/PML/RAD50/PARN/MAPK3/RUVBL1/CCT7/CCT8/INO80E/FBXO4/ATRX/NAF1/ACTR5/NFRKB/CCT3/MAPK15/SLX1A/YY1/TERF2IP/MAPKAPK5/PRKCQ/TERF2/PNKP/SIRT6/DKC1
GO:0009123	GO:0009123	nucleoside monophosphate metabolic process	61	0.316825530382966	1.40833886116822	0.0592193808882907	0.34513143948221	0.306975275695911	6377	tags=59%, list=41%, signal=35%	CDA/AK8/DTYMK/MPP1/TK1/PPAT/DCK/NT5E/UPRT/ATIC/ADA/PFAS/AMPD3/TYMP/UCK1/UCKL1/TJP2/CARD11/PRPS1/NT5C/DPYS/DGUOK/CAD/UPP1/MAGI3/DNPH1/AK1/PAICS/NUDT2/AK2/DUT/ADK/GMPR2/CMPK1/AK3/LRGUK
GO:0042531	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein	41	-0.286325004869494	-1.39605555310718	0.0594029119251568	0.34513143948221	0.306975275695911	873	tags=17%, list=6%, signal=16%	CTF1/IL12A/HPX/ERBB4/IGF1/IL6/LIF
GO:0002720	GO:0002720	positive regulation of cytokine production involved in immune response	68	-0.24459999083278	-1.36522558977669	0.0583597106303095	0.34513143948221	0.306975275695911	1480	tags=19%, list=10%, signal=17%	DDX21/NLRP3/NR4A3/SCIMP/GPRC5B/CD160/SIRT1/LACC1/PLCG2/TRIM6/HLA-G/IL6/XCL1
GO:0007368	GO:0007368	determination of left/right symmetry	103	0.277364789387479	1.35729354420919	0.0598503740648379	0.34513143948221	0.306975275695911	4851	tags=42%, list=32%, signal=29%	PITX2/DAAM2/NOTO/MKKS/IFT140/NOTCH2/DNAAF3/RPGRIP1L/DYNC2LI1/C2CD3/MKS1/CCDC40/PKD2/MESP1/DNAAF2/DISP1/DNAAF4/SMO/TMEM107/TBX6/DVL1/DVL2/ACVR1/DAW1/ENG/ACVR2A/SETDB2/ALG5/TMED2/KIF3B/SHH/IFT57/DPCD/BICC1/IFT74/AP1B1/HAND1/CC2D2A/PSKH1/ARL6/OFD1/FOXJ1/OVOL2
GO:1903046	GO:1903046	meiotic cell cycle process	155	0.255080800447557	1.34100420430386	0.0590909090909091	0.34513143948221	0.306975275695911	2938	tags=26%, list=19%, signal=21%	OOEP/CENPS/SYCE3/HORMAD1/AURKA/TEX14/NCAPD2/BRCA2/FMN2/TUBG1/PSMC3IP/RAD51AP1/SLX4/SMC4/PLCB1/RAD51D/NUF2/TERF1/PDE3A/CDC20/UBR2/KLHDC3/MASTL/SYCE2/SIRT7/PLK1/P3H4/TUBG2/DMRT1/CDC25B/FIGNL1/MARF1/TDRKH/NCAPH/DCAF13/SPIRE2/RPS6KA2/RAD50/CENPX/MEI1
GO:0017156	GO:0017156	calcium-ion regulated exocytosis	51	-0.258697892776124	-1.31334811102575	0.0593325748227895	0.34513143948221	0.306975275695911	2898	tags=37%, list=19%, signal=30%	SYN2/EQTN/RPH3A/UNC13C/STX1B/SYT5/SYT9/SYT10/UNC13A/SYT6/SYT13/SYT4/RIMS2/DOC2A/SNAP25/TSPAN18/ADRA2A/RIMS4/TRPV6
GO:0002718	GO:0002718	regulation of cytokine production involved in immune response	95	-0.21387970286477	-1.29494693160775	0.0596261252261127	0.34513143948221	0.306975275695911	1480	tags=18%, list=10%, signal=16%	DDX21/NLRP3/NR4A3/SCIMP/GPRC5B/CD160/ANGPT1/SMAD7/APOA1/SIRT1/LACC1/PLCG2/TRIM6/HLA-G/NLRX1/IL6/XCL1
GO:0002367	GO:0002367	cytokine production involved in immune response	97	-0.209699562847388	-1.27513131130235	0.0594780604679908	0.34513143948221	0.306975275695911	1480	tags=18%, list=10%, signal=16%	DDX21/NLRP3/NR4A3/SCIMP/GPRC5B/CD160/ANGPT1/SMAD7/APOA1/SIRT1/LACC1/PLCG2/TRIM6/HLA-G/NLRX1/IL6/XCL1
GO:0007162	GO:0007162	negative regulation of cell adhesion	223	-0.169475547296044	-1.18936935351849	0.0597999162014751	0.34513143948221	0.306975275695911	1436	tags=16%, list=9%, signal=14%	CDH13/LRRC32/MYADM/ARG2/MAD1L1/ZC3H12A/PLG/LOXL3/ADTRP/SDC4/TNR/RIPOR2/SOCS6/ACER2/IL2RA/ANGPT1/SMAD7/APOA1/FZD7/SEMA5A/PHLDB2/SPOCK1/CX3CL1/LGALS9B/TSPAN32/TMEM131L/RND1/ARHGAP6/CCL21/BMP6/HLA-G/RGCC/SCGB1A1/BMP2/XCL1
GO:1903530	GO:1903530	regulation of secretion by cell	441	-0.1465953752659	-1.16253619485767	0.058657891888592	0.34513143948221	0.306975275695911	1509	tags=13%, list=10%, signal=12%	SYT4/PRKCG/PLA2G1B/PDE8B/SOX4/RIMS2/GPR68/RAB12/GABBR1/IL1A/CRY1/DOC2A/UCN/HCAR2/ADTRP/SNAP25/SDC4/IL13RA2/CHRNA7/SYN1/TFAP2B/CACNB4/P2RY1/FKBP1B/IL12A/ADRA2A/P2RX1/SAA1/FGA/SCT/RIMS4/NLGN1/CPB2/CD33/TACR1/FER/CYP51A1/NKX3-1/ADGRE2/ZBED6/IGF1/BMP6/ANO1/MCTP1/RGCC/SNCAIP/LGI3/FFAR4/BRSK2/INHBA/SLC30A8/GNAZ/TRPV6/HAP1/BMP2/IL6/LIF/PTAFR
GO:0006635	GO:0006635	fatty acid beta-oxidation	62	0.317567318166191	1.41855217736807	0.0599201065246338	0.345157074517927	0.306998076638556	6605	tags=61%, list=43%, signal=35%	ABCD1/DECR2/TYSND1/ABCD4/ACOXL/SESN2/GCDH/ACAA2/PEX2/ACADS/PEX5/EHHADH/ACOT8/ECHDC2/SCP2/MCAT/ACOX1/ACADVL/HSD17B4/HADH/ETFB/ACOX3/AMACR/MFSD2A/ECH1/LONP2/BDH2/ACADM/ECHDC1/ACACB/ACAA1/HADHB/ECI2/ACOX2/PPARA/ETFA/SLC25A17/ECHS1
GO:0051984	GO:0051984	positive regulation of chromosome segregation	23	0.415307888422934	1.49319509679739	0.0603829160530191	0.347465515910436	0.309051307239502	6997	tags=78%, list=45%, signal=43%	CDC6/NCAPD2/SMC4/NCAPG2/CCNB1/NCAPH/BECN1/RAD18/SMC6/NUMA1/MAD2L1BP/NCAPH2/INCENP/HNRNPU/KAT5/SIRT2/BIRC5/SMC2
GO:1903978	GO:1903978	regulation of microglial cell activation	14	-0.460163178194121	-1.61480800917332	0.0609276015644881	0.349439548643183	0.310807099882667	501	tags=64%, list=3%, signal=62%	TREM2/SYT11/CCL3/STAP1/MMP8/LDLR/CX3CL1/CST7/IL6
GO:0006570	GO:0006570	tyrosine metabolic process	12	0.497025227744239	1.49311690425903	0.0609756097560976	0.349439548643183	0.310807099882667	603	tags=25%, list=4%, signal=24%	IYD/FAH/OCA2
GO:0045109	GO:0045109	intermediate filament organization	34	-0.304052907038902	-1.43008702334202	0.0608547381495661	0.349439548643183	0.310807099882667	3225	tags=56%, list=21%, signal=44%	KRT16/PKP1/DES/KRT5/AGFG1/KRT1/KRT40/KRT73/BFSP2/NEFM/KRT6B/KRT79/KRT33B/KRT36/KRT72/PKP2/KRT17/KRT4/KRT23
GO:0001501	GO:0001501	skeletal system development	406	0.21399519455495	1.23879694460925	0.0609504132231405	0.349439548643183	0.310807099882667	3363	tags=25%, list=22%, signal=20%	SFRP4/HOXD1/PITX2/NOTUM/SP5/OSR2/BMP5/BGN/SCIN/SOX6/THBS3/WNT2B/ANXA6/VDR/COL3A1/CTSK/LOXL2/GSC/PPARGC1B/SLC39A3/MKKS/SFRP2/IFT140/CHRDL2/HOXB2/SRD5A1/STC1/THRA/NOTCH2/IFT80/MMP9/TGFB3/HOXC9/SNX10/PTPRC/AXIN2/PLS3/SLC38A10/OSR1/HOXC11/CHADL/MKS1/FGFR1/HOXB6/P3H1/HOXB7/SLC9B2/FUZ/BARX2/XYLT1/GDF11/PRKRA/MTHFD1/HOXD8/PBXIP1/COL9A2/RAB23/PRRX1/KAT2A/BMP8B/CDK20/TWSG1/TNFSF11/TGFBI/MIGA2/TMEM107/GATA3/ACD/BGLAP/SRC/EXT2/VKORC1/ATP7A/MAP2K6/TTC9/LARGE1/HOXB3/RGN/FAM20C/FGF9/PLEKHA1/PBX1/HEXB/EFEMP1/ENG/MMP2/PCGF2/ACVR2A/MAPK3/SERPINH1/SLC39A1/HSD17B1/SIX1/SNAI1/ACP5/DYM/ZMPSTE24/ATP6AP1/MATN3/P2RX7/DMRT2/DDRGK1
