p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GGACT	0.00439061108595183	2.20716780253817	0.126	0.045	1
MED16	0.00439974150739072	1.7585665034321	0.232	0.142	1
MRPL27	0.00440500767597802	0.919373227871214	0.434	0.368	1
ENTPD6	0.00442965376863786	1.83337521052205	0.194	0.103	1
POLR2I	0.00443243439986774	0.803565668656994	0.481	0.406	1
PLXDC1	0.00443351298612198	2.09557386122556	0.098	0.026	1
PRKCSH	0.0044346343794971	0.541036080310175	0.451	0.406	1
TP53I13	0.0044418426000177	0.709187805626225	0.32	0.226	1
EMC7	0.00444469858493507	1.1391713840229	0.385	0.316	1
TWISTNB	0.00445209318330492	0.535251949020255	0.142	0.258	1
GGH	0.00445272360301072	-0.556312472073801	0.087	0.181	1
DENND6B	0.00445567239475927	2.1665570348922	0.107	0.032	1
KRT5	0.00445911386975584	-0.854579591956929	0.038	0.103	1
KARS	0.00446844779046936	0.651672854628759	0.396	0.329	1
HNRNPA1P48	0.00448224863982115	-0.384443596255239	0.175	0.297	1
LRRN1	0.00448651145503111	-1.63739598785297	0.014	0.058	1
MTRNR2L1	0.00448651145503111	-1.56596518990603	0.014	0.058	1
ARL16	0.00450132901235424	1.59520097539157	0.295	0.194	1
LINC02562	0.00450925103788714	2.0826878996442	0.126	0.045	1
AC016596.1	0.00451859269636756	-2.23388531145816	0.014	0.058	1
TRIM69	0.00452858137257969	-1.02642708894049	0.074	0.161	1
ITM2B	0.00454546733650129	0.412094651174049	0.801	0.755	1
ASCC3	0.00454765058871687	-0.313436399351678	0.12	0.226	1
NOS1AP	0.00455088161876089	-1.9262486110705	0.014	0.058	1
ROMO1	0.00456123112192307	0.598107757920231	0.568	0.503	1
VDAC2	0.00456320766790037	0.500027831187637	0.546	0.51	1
ACSL4	0.00456636981124816	0.506801648553964	0.087	0.181	1
KCTD5	0.00457149651236896	2.61585450399161	0.169	0.084	1
NADK2	0.00462240160567158	0.755047981004304	0.041	0.11	1
VPS29	0.00463227537802936	0.623870751032327	0.497	0.432	1
UPF3B	0.00464227032398746	1.85774453539993	0.268	0.174	1
AP000704.1	0.00464341135251109	-2.43007248982888	0.011	0.052	1
ANO1	0.00465755256526007	-3.08079628367502	0.008	0.045	1
NDUFV2	0.0046694151671081	-0.406459860504385	0.522	0.619	1
UROD	0.00467879715540013	1.0927904067794	0.298	0.213	1
PRR5L	0.00468213773303341	-0.92071606845672	0.014	0.058	1
MFSD10	0.00468604889615717	0.679921391465885	0.437	0.374	1
RSRP1	0.00468773018547224	1.32171572127361	0.423	0.355	1
MCM3	0.00471167895674749	1.29194719229762	0.202	0.11	1
MT1A	0.0047150333585292	-1.45426045479104	0.011	0.052	1
SEMA5A	0.00475121806690761	-2.14208192363905	0.011	0.052	1
CSKMT	0.00475794451677559	0.573306907646959	0.276	0.181	1
RNF7	0.004779622076463	0.85066134553354	0.418	0.355	1
C20orf85	0.00478765393045567	-1.3865588730366	0.011	0.052	1
ZNF391	0.00479045702248535	3.58056058014395	0.063	0.006	1
XKRX	0.00479045702248535	2.97952126872875	0.063	0.006	1
BRI3	0.00480298904824546	-0.294474119903268	0.311	0.458	1
DEK	0.00480844971307157	1.10550383251155	0.582	0.581	1
MEGF9	0.00481186415771719	2.41845673299383	0.194	0.103	1
ADCK2	0.00483605941706887	2.2289173912479	0.139	0.058	1
A4GALT	0.00484693795621209	-0.887971901417878	0.101	0.2	1
LINC01290	0.00484754550699067	-3.32678665004305	0.005	0.039	1
TF	0.00486128522279625	-2.00423837437693	0.011	0.052	1
ZNF544	0.00486128522279625	-2.4745686416344	0.011	0.052	1
SS18L2	0.00488119230237756	-0.660884183646392	0.145	0.265	1
EVC2	0.00489284689567122	-2.11014819048092	0.005	0.039	1
FAM83F	0.00489284689567122	-2.32858241864219	0.005	0.039	1
ODC1	0.00489835256349457	-0.862937458514135	0.183	0.31	1
PIGQ	0.00491009545774813	2.38724190956042	0.148	0.065	1
FLAD1	0.00491462732262211	2.1632764981435	0.183	0.097	1
PPP1CC	0.00492453861007393	0.763986474436648	0.391	0.329	1
CHMP1B	0.00493100203769652	1.50507713375306	0.44	0.381	1
LINC00472	0.00493783395042235	-2.66055666822156	0.008	0.045	1
CR381653.1	0.00493853090483975	-2.0416174451628	0.005	0.039	1
IL1RAP	0.00494293665021028	0.758847197035701	0.046	0.116	1
ZNHIT3	0.0049467736277717	0.845090098426499	0.309	0.2	1
SVIP	0.00497117056130544	1.21798072143895	0.473	0.419	1
TACR1	0.00498460035459973	-2.31638741620123	0.005	0.039	1
AC093673.1	0.00500151967075025	-0.621636924667134	0.055	0.129	1
CPNE3	0.00500813035928983	1.09983644663617	0.393	0.31	1
CA5B	0.00501162918902054	-1.65286010670778	0.011	0.052	1
ATP5MC3	0.00502084911204268	0.457202426974305	0.645	0.619	1
HIST1H2BG	0.00502143358631377	3.90028134738943	0.049	0	1
FADS6	0.00502143358631377	3.29031403608174	0.049	0	1
LRRN4	0.00502143358631377	2.92877299326789	0.049	0	1
CYP4F12	0.00502143358631377	3.40840693408713	0.049	0	1
Z95115.1	0.00502143358631377	4.0079604576032	0.049	0	1
ARL3	0.00502724990015676	0.974439676223437	0.355	0.271	1
TTN	0.00503105808193264	-0.911072001496439	0.005	0.039	1
AC106739.2	0.00503105808193264	-1.92203760094513	0.005	0.039	1
TFAP2B	0.00503105808193264	-1.81475584933779	0.005	0.039	1
JAG2	0.00504617018856037	-1.04474802076278	0.025	0.077	1
DUSP6	0.00504741870131201	-0.54687898337502	0.366	0.503	1
GABRE	0.00505332009468069	2.77438219679026	0.145	0.065	1
ACHE	0.00505871970104303	2.81487625514735	0.063	0.006	1
ZNF329	0.00506255697998414	-3.34631020335389	0.008	0.045	1
GFER	0.005065985231934	2.01098319650045	0.238	0.148	1
OCLN	0.00508275397375035	0.979919245084525	0.423	0.342	1
SNRPD1	0.00509576271720907	-0.462069303759257	0.363	0.49	1
ATP13A5	0.00510475990880531	-2.1348067164016	0.008	0.045	1
FAM228B	0.00511610588513737	1.75315198139908	0.142	0.058	1
MUM1L1	0.00512514980202909	-1.10170738298156	0.005	0.039	1
FHOD3	0.00514728057767518	-2.1005215481831	0.008	0.045	1
TSFM	0.00516494249645433	0.890579449764655	0.238	0.148	1
RBM15B	0.00517223498948716	-0.417070195856778	0.104	0.2	1
THRA	0.00518572203748655	2.64475251106428	0.175	0.09	1
BOD1	0.00519224922145153	1.53876647326261	0.331	0.258	1
SAC3D1	0.00520327933855099	2.66081566799578	0.074	0.013	1
PKP1	0.00520546567151534	-0.722531535686518	0.011	0.052	1
RAB40B	0.00520746590919617	0.683155023760993	0.221	0.123	1
LSM1	0.0052137970811368	1.45340112985143	0.344	0.265	1
DXO	0.00521776898904993	2.64931261166949	0.167	0.084	1
TACC3	0.00523328348612555	-1.92497568999255	0.008	0.045	1
PSMB7	0.00523409138237018	0.659997994172667	0.514	0.458	1
GIT2	0.00523796661823528	1.66164497100526	0.156	0.071	1
MRPL19	0.00524183474811851	1.59546312861211	0.311	0.226	1
RPP14	0.00524352126638945	0.744136999752432	0.038	0.103	1
FAM92B	0.00524503636314948	0.642726860884019	0.011	0.052	1
LINC01508	0.00526699241854636	2.99122074598474	0.085	0.019	1
NTS	0.00527676992871485	-1.62222566647236	0.008	0.045	1
SDHAF3	0.00527955925095154	0.279664084076723	0.24	0.148	1
COG2	0.00528035865405856	1.64022757654173	0.186	0.097	1
PCAT6	0.00528752004972054	2.0730665223374	0.096	0.026	1
GALNT5	0.00530471780139227	2.54158793704035	0.164	0.077	1
MT-ND6	0.00531447358072622	0.333362848582329	0.189	0.303	1
ZNF699	0.00532058251744637	-1.88015993121649	0.008	0.045	1
AC003681.1	0.00532058251744637	-0.78220478269983	0.008	0.045	1
SLC4A2	0.00534067081943525	1.47652269150596	0.199	0.11	1
MCRS1	0.0053474869539247	1.78636260035032	0.21	0.123	1
MUCL1	0.00536472338172181	-0.757842889955787	0.008	0.045	1
SLC5A2	0.00538659658903598	2.75875902461858	0.074	0.013	1
ATP5F1B	0.00539530985460189	0.535154416282578	0.628	0.613	1
FAM189B	0.00541669844618822	1.9175793558023	0.156	0.071	1
PTP4A2	0.00543869900297494	-0.772720543277117	0.413	0.548	1
SPTY2D1	0.00544193123349283	0.393292914191178	0.112	0.213	1
UBE2F	0.00544457263028637	2.0474297788587	0.262	0.174	1
RPA2	0.00545961076612015	1.94930804441735	0.249	0.161	1
C12orf65	0.00548600217371214	1.11107223100678	0.235	0.142	1
AK2	0.00548660355218074	0.876701720498983	0.473	0.413	1
COL4A2	0.00548881995512788	1.21604157070132	0.085	0.019	1
NDUFA8	0.00548912592216124	0.846806592220406	0.358	0.277	1
LMF2	0.0054904783655121	0.528578665037601	0.295	0.194	1
ADCK5	0.00549266928568989	2.18428841970444	0.104	0.032	1
PAAF1	0.00549266928568989	2.32718118661702	0.104	0.032	1
TYSND1	0.00549657555313344	2.55879032841763	0.194	0.11	1
TMSB10	0.0055077091534366	0.312517285010371	0.902	0.91	1
AFAP1-AS1	0.00551644856733423	-0.348035222120358	0.098	0.026	1
MYO1B	0.00552369044025211	-0.3978639276547	0.224	0.348	1
SERTAD2	0.00553092950187988	-0.810667252725734	0.098	0.194	1
MMAB	0.00553166194965217	1.34139116874314	0.347	0.252	1
OBSCN	0.00553816579276014	3.40988116379021	0.093	0.026	1
C9orf72	0.00556281458528062	-0.351844891029112	0.063	0.142	1
RMND5B	0.00556320657843549	1.78669853663499	0.238	0.148	1
USF3	0.00556341675606198	1.18709174917618	0.055	0.129	1
EPHX1	0.00557395644839298	0.430896050618182	0.596	0.542	1
HS3ST5	0.0055900895253899	2.03688610826534	0.085	0.019	1
RIPK2	0.0056036139135651	-1.15967955396213	0.117	0.213	1
GLRX3	0.0056072707860135	1.40663931988786	0.372	0.29	1
MAP3K6	0.00562301397539757	1.17601682429789	0.15	0.065	1
B3GALT4	0.00562971322324625	1.68500827253984	0.189	0.097	1
TRIM27	0.00565538862625542	0.367420032394518	0.24	0.142	1
BECN1	0.00565896246992017	1.59759019604736	0.29	0.206	1
AMBRA1	0.00566252997244179	-1.36086177725115	0.025	0.077	1
KLF2	0.005693172341269	-0.954473066408361	0.153	0.252	1
TARDBP	0.00570350303140814	1.14900679781672	0.352	0.271	1
DDR1	0.00570682811047212	0.945257978160915	0.505	0.452	1
MRPL12	0.00571408931989453	0.311099616953373	0.336	0.245	1
AC003102.1	0.0057144642152601	2.70013166878905	0.074	0.013	1
SMDT1	0.00571844502830321	-0.550647546821554	0.437	0.574	1
MYCBP	0.00572890916715299	1.88681090445675	0.153	0.071	1
HEXA	0.00573351596372361	0.801159547422618	0.385	0.303	1
ALG1	0.00573668075809043	1.19432668850056	0.178	0.09	1
GYG1	0.00577211989032806	1.78692040783528	0.224	0.135	1
CITED2	0.00577415399139477	0.49746689754098	0.557	0.471	1
TANK	0.00578455476208992	0.942454051116167	0.374	0.303	1
TCTA	0.00579298807029352	2.22039596336021	0.164	0.077	1
YDJC	0.00580010037712829	1.59565178159575	0.246	0.148	1
PEX19	0.00581110158988016	0.749782788580212	0.224	0.129	1
SUN1	0.00581248063668407	-0.621731491505149	0.216	0.342	1
ZNF213	0.0058241358165137	-0.442160992919393	0.085	0.019	1
ARHGEF11	0.00582687014163974	-0.641562556496476	0.025	0.077	1
KAT2A	0.00584180975144952	1.9949703250788	0.191	0.103	1
TCOF1	0.00584230592105923	-1.1356147703938	0.068	0.148	1
COG7	0.0058453000663209	1.77677392404806	0.183	0.097	1
ZNF429	0.00586201441247261	3.07418282581461	0.137	0.058	1
NFE2L3	0.00586418078528633	2.0216570847093	0.104	0.032	1
IL27RA	0.00587656940346521	2.1240715803141	0.139	0.058	1
RIC8B	0.00587733095936807	1.87900630293273	0.085	0.019	1
ZNF592	0.00588665086638891	-0.632338941240363	0.044	0.11	1
CTCF	0.00589243088849345	-0.722389927326945	0.134	0.245	1
BBS4	0.00589460119058242	2.50941263718895	0.128	0.052	1
CHURC1	0.00590020846434894	1.60971126385872	0.361	0.284	1
NOTCH2	0.00590115863994368	2.61871125955337	0.202	0.116	1
TMEM53	0.00591254824938044	1.45236915377002	0.191	0.103	1
NSUN5	0.00592135322607703	0.808557153769455	0.208	0.116	1
TARS2	0.00593353978016324	2.89279295934014	0.101	0.032	1
WAPL	0.005957569712586	-0.630379738191043	0.142	0.252	1
LSM10	0.00596429625435279	0.508433735934729	0.251	0.155	1
UROS	0.00598842358285316	1.5779581054302	0.276	0.187	1
METTL3	0.00599268641911288	2.1980621254599	0.169	0.084	1
TMEM161A	0.00601189898079325	2.29141337737447	0.194	0.11	1
FBXO22	0.00602850700068774	2.77595747838489	0.164	0.084	1
DYNC1I2	0.00605699720545371	0.836840153984817	0.522	0.484	1
MAP3K4	0.00605830247887011	-2.09741078732658	0.06	0.135	1
ARF3	0.00605985091354005	0.873591247598755	0.415	0.368	1
ADH1C	0.00606453922816878	1.85502800529932	0.232	0.142	1
SYCE3	0.00612632328914673	3.51188277784849	0.06	0.006	1
SNX4	0.00612695527111125	1.42764881413541	0.221	0.129	1
TRMU	0.00613536001104978	2.60643349273517	0.128	0.052	1
TMOD3	0.00614077798263219	-0.477664619710564	0.23	0.361	1
ALKBH4	0.00614993255112878	1.59213684979506	0.085	0.019	1
FHL3	0.00616355472829678	3.20871564349516	0.082	0.019	1
EVA1A	0.00617152086585712	1.37878649980384	0.29	0.194	1
TRPT1	0.00618458084577428	2.12863892651166	0.175	0.09	1
ZNF124	0.00619273173294397	-2.93778399556625	0.022	0.071	1
CYP4F11	0.00619334615836815	3.12517374366031	0.06	0.006	1
XRCC1	0.00620254069621246	3.0857604592992	0.128	0.052	1
AC005838.2	0.0062036473857503	-0.937837484328878	0.025	0.077	1
RGMA	0.00620778845842139	3.33585043939551	0.101	0.032	1
C15orf48	0.00621273456666105	1.32839295315541	0.333	0.245	1
COP1	0.00622244983383258	2.45699408670769	0.161	0.077	1
DSG2	0.00623243064696094	1.18254778951012	0.27	0.181	1
CA11	0.00623722680935781	2.19459417809958	0.145	0.065	1
INTS10	0.00623840051500471	0.820773831341441	0.344	0.277	1
PAIP2	0.00624423350110732	0.921758530443698	0.426	0.368	1
C4orf48	0.00624539477928294	1.13259204928315	0.249	0.148	1
CAVIN2	0.00627513869522284	-0.311343448429916	0.361	0.49	1
MRRF	0.00628480468187092	1.17060162851925	0.169	0.084	1
PYCR1	0.00629011954003365	1.9311726886333	0.137	0.058	1
CCPG1	0.006293232931137	0.756158999675735	0.44	0.387	1
DERL1	0.00630797057692083	0.788125854749688	0.358	0.284	1
ZFP36L1	0.00631007398466941	0.291212408868061	0.792	0.729	1
TARBP2	0.00632436217628662	2.47912987358768	0.139	0.058	1
TBCD	0.00633852091976698	1.4087423764509	0.243	0.155	1
GPR89A	0.00635132852517222	1.97398527653094	0.12	0.045	1
GDF15	0.00636472274016203	0.848408535074781	0.525	0.419	1
PIM3	0.00637177347734559	0.675776720302798	0.596	0.548	1
SRSF8	0.00637847506255788	0.7595097200308	0.404	0.335	1
GMPR	0.00637887446339397	4.5656713156221	0.071	0.013	1
REC8	0.00641044084550455	-0.339812037320121	0.036	0.097	1
MRPS5	0.00642593858095453	1.20707462385705	0.372	0.297	1
FN3KRP	0.00642680859607794	1.5156570057057	0.224	0.129	1
DCK	0.0064406057586636	2.39725476466266	0.101	0.032	1
MYBPHL	0.00645150720892695	2.80248001326343	0.046	0	1
HMGCS2	0.00645150720892695	3.21876579560028	0.046	0	1
AL359764.1	0.00645150720892695	2.63704682266533	0.046	0	1
BGN	0.00645150720892695	3.68916044594268	0.046	0	1
DMRT3	0.00645150720892695	2.27825240935808	0.046	0	1
NELL1	0.00645150720892695	4.37742305091499	0.046	0	1
ANKZF1	0.00645354141025344	2.28915935059217	0.145	0.065	1
UQCRQ	0.0064540092983702	0.360440601421259	0.697	0.671	1
MEST	0.00646226068490353	2.04467978252608	0.112	0.039	1
SLC22A17	0.00648333459014484	-0.988821842783181	0.074	0.155	1
ATP5MC1	0.00648337148951214	0.413222292752858	0.544	0.497	1
FAM241B	0.00648736399901202	0.927846752884384	0.112	0.039	1
GGNBP2	0.00648819463236518	0.885393107134968	0.434	0.381	1
LRRC45	0.00651255499892119	0.443148723356468	0.112	0.039	1
GPD1L	0.00653170183971581	0.846046599950325	0.145	0.265	1
CTSZ	0.00653306119309868	0.404066276070984	0.448	0.387	1
PET100	0.00653878109438444	0.690310878024448	0.56	0.51	1
SMUG1	0.00655012447502279	1.08292991765859	0.197	0.11	1
NBDY	0.00656089233277967	-0.763087658182547	0.246	0.381	1
PPP1R9B	0.00656320111600091	2.16145787931741	0.112	0.039	1
TMEM267	0.00656420972269911	2.03503803226789	0.145	0.065	1
FDFT1	0.00656822586534743	0.867726961014021	0.503	0.445	1
ZNF516	0.00656917403386293	-0.31343933740816	0.06	0.135	1
POLR2H	0.00658025296965309	0.875759192562692	0.402	0.335	1
C12orf57	0.00659523968905728	-0.728954080352989	0.445	0.587	1
RHBDL2	0.00660093291035423	2.17393723931117	0.082	0.019	1
TELO2	0.00660895284501729	1.88719029729177	0.145	0.065	1
SSRP1	0.00662810153490685	1.38879280827406	0.363	0.29	1
GPSM3	0.00664349562375824	0.346372192825744	0.262	0.168	1
CPPED1	0.0066520530449729	2.92042048840985	0.15	0.071	1
GBA	0.00668685242661492	2.79255217190364	0.169	0.09	1
TUBB4B	0.00669683674549991	0.63708300577587	0.604	0.561	1
DDB2	0.00671947378791779	0.557211060810245	0.183	0.09	1
MRPS31	0.00672694957774861	-0.649364036328844	0.137	0.245	1
EFHD1	0.00672762157974381	1.80157951571216	0.189	0.103	1
UFL1	0.00675986883483292	1.16636252757839	0.339	0.245	1
PPP2R5A	0.00676818618621258	1.82583104346528	0.265	0.181	1
PDXDC1	0.00678368621702246	1.11542484307169	0.393	0.303	1
CEBPG	0.00678688859291465	-0.931496553510659	0.126	0.232	1
FRMD4A	0.00682116752860554	3.05752997018202	0.109	0.039	1
CCDC14	0.0068220032665627	1.94675632225845	0.24	0.155	1
SCYL1	0.00682680713671537	1.4948126616985	0.309	0.232	1
DOK1	0.00684813876236238	1.54301306577546	0.112	0.039	1
ZBTB24	0.00684813876236238	0.439407319240524	0.112	0.039	1
ZNF580	0.00686784886623901	1.44197397621297	0.27	0.181	1
ATN1	0.00688542695074766	-0.672141117332601	0.21	0.342	1
TIMM22	0.00689536487886656	1.88758588881231	0.18	0.097	1
PMEPA1	0.00690022776133863	0.97039172672216	0.284	0.187	1
VPS37C	0.00692817678933714	2.55293925092625	0.109	0.039	1
TRPS1	0.00693072803206301	-1.432005598205	0.022	0.071	1
THAP5	0.00693400510623043	2.58755645751978	0.186	0.103	1
TMEM134	0.00693481588236938	0.860235304315486	0.423	0.342	1
ACOXL	0.0069822108615904	2.43065200024736	0.093	0.026	1
BRD3OS	0.00698224488182202	3.35095033169147	0.109	0.039	1
NFU1	0.00701979008519256	1.06270843863538	0.314	0.239	1
ZNF444	0.00704728231449109	0.333508786904654	0.251	0.161	1
UBE2J2	0.00705070711595882	0.90508305458179	0.325	0.245	1
ZDHHC24	0.00705638238059602	1.98021974877457	0.23	0.142	1
RNF40	0.00706156387462941	1.94437935925402	0.221	0.135	1
RASSF5	0.00706164797071256	2.66910357359382	0.197	0.116	1
CEP85L	0.00706602324493328	-0.424331894951062	0.044	0.11	1
ASF1A	0.00711333123483195	0.926419439566295	0.246	0.155	1
LACTB2	0.00715409160396979	0.699638623647323	0.355	0.271	1
IZUMO4	0.00716565787692867	2.58820499869741	0.09	0.026	1
BCKDHA	0.00717635262803021	1.77013803299124	0.071	0.013	1
ATP6V0A1	0.00718358483753982	2.98499103345926	0.164	0.084	1
HNRNPF	0.0071909078422654	0.602597959554531	0.596	0.555	1
DOHH	0.00721119192504564	1.51468271709015	0.15	0.065	1
MAP7D1	0.00722116580653222	0.449441515653703	0.246	0.148	1
LPP	0.00723328476522752	1.05111274486784	0.464	0.406	1
CLIC5	0.00723565555548805	-0.6778613199492	0.077	0.155	1
ZNF768	0.00724198611107191	2.64314552545057	0.178	0.097	1
PTP4A1	0.00724335943128858	-0.795125070855795	0.566	0.658	1
PCGF6	0.00726015331585078	0.806316880783005	0.082	0.019	1
AGPAT1	0.00726902505752242	1.92534506411091	0.202	0.116	1
RBM41	0.00729621428868379	1.03069068101553	0.153	0.071	1
ICAM2	0.0073103953619732	0.632604617844687	0.112	0.039	1
MRPL23	0.00733094573260624	-0.365102034338239	0.27	0.426	1
BUB3	0.00734420384015808	1.34600019135314	0.303	0.219	1
STXBP2	0.007367282082906	1.35184637928491	0.347	0.277	1
CAPN13	0.00736831849266734	-0.273553032301091	0.098	0.187	1
AL691432.2	0.0073768533554052	1.44815951665588	0.093	0.026	1
EBAG9	0.00737847648935877	0.786428771084193	0.396	0.335	1
EWSR1	0.00738645918229971	0.869725132374886	0.473	0.406	1
LETMD1	0.00738750495541835	0.634579210669113	0.284	0.2	1
SH3PXD2B	0.00739323137090074	0.496194179564836	0.022	0.071	1
MRPL24	0.00743852134434992	1.19328322435482	0.342	0.265	1
AP3M2	0.00744667303969118	2.87881982094545	0.09	0.026	1
CDK2AP1	0.00748023706601691	-0.593543518851978	0.022	0.071	1
HS6ST1	0.00750976929286451	-0.655299970824039	0.134	0.245	1
OXSM	0.00751212051927041	-1.21133481121413	0.033	0.09	1
RABEP2	0.0075228359790768	0.627248369589362	0.202	0.116	1
RNASE4	0.00754189907485704	2.68052643141311	0.15	0.071	1
SLC25A32	0.00756453963786647	-1.53065669193517	0.079	0.161	1
DCLK1	0.00756815987573014	-0.738976778567328	0.022	0.071	1
NPL	0.00759435910788842	1.35261285300281	0.082	0.019	1
AC009403.1	0.0075952092115082	0.994435934831911	0.112	0.039	1
LANCL2	0.00762852681858962	0.334300585747853	0.044	0.11	1
FANCF	0.00763182622659321	0.661632537634366	0.109	0.039	1
CTDSPL	0.00763854574170273	-0.513002238378766	0.112	0.206	1
IFI35	0.00764872221995788	2.21044164214505	0.235	0.155	1
BLCAP	0.00765072949307475	1.27723785640089	0.262	0.181	1
FBXL16	0.00765700810167077	0.611585727081432	0.022	0.071	1
TOM1L2	0.00766183025636391	-0.288219160773447	0.096	0.187	1
RASSF4	0.00767367051714529	0.948568545573145	0.216	0.129	1
NEGR1	0.00771612082358086	-2.75412268869629	0	0.019	1
ERICH3	0.00771612082358086	-2.4697500929338	0	0.019	1
AL358472.5	0.00771612082358086	-3.31850708609199	0	0.019	1
ALS2CR12	0.00771612082358086	-5.04630480224081	0	0.019	1
AC012467.2	0.00771612082358086	-2.75840493113094	0	0.019	1
ODAM	0.00771612082358086	-2.88985447415235	0	0.019	1
ANKRD33B	0.00771612082358086	-3.41499427458677	0	0.019	1
FBXL7	0.00771612082358086	-3.28095394326532	0	0.019	1
AC116366.1	0.00771612082358086	-2.8117116348004	0	0.019	1
TFAP2A-AS1	0.00771612082358086	-2.26354558398064	0	0.019	1
XRCC2	0.00771612082358086	-2.39424176207992	0	0.019	1
STARD8	0.00771612082358086	-2.73382680827756	0	0.019	1
AC100803.3	0.00771612082358086	-2.51637822624726	0	0.019	1
BX005214.2	0.00771612082358086	-2.20670477389843	0	0.019	1
TNNT3	0.00771612082358086	-2.12330933858272	0	0.019	1
C11orf21	0.00771612082358086	-2.67024432290435	0	0.019	1
DEUP1	0.00771612082358086	-2.26850941646561	0	0.019	1
CHEK1	0.00771612082358086	-2.23143575180415	0	0.019	1
ITIH2	0.00771612082358086	-4.77330070953998	0	0.019	1
FAM24B	0.00771612082358086	-2.43421543784115	0	0.019	1
PZP	0.00771612082358086	-2.30844514733798	0	0.019	1
LINC02471	0.00771612082358086	-2.65904274271129	0	0.019	1
AC073896.3	0.00771612082358086	-2.33138673273366	0	0.019	1
GPR137C	0.00771612082358086	-2.36680178335291	0	0.019	1
BRICD5	0.00771612082358086	-2.3523718425479	0	0.019	1
NXPH3	0.00771612082358086	-4.16118990884926	0	0.019	1
PCAT19	0.00771612082358086	-5.55888426909235	0	0.019	1
ZNF221	0.00771612082358086	-2.09550065832284	0	0.019	1
ACTBL2	0.00771612082358086	-3.07807470664435	0	0.019	1
AC004839.1	0.00771612082358086	-3.95236403011388	0	0.019	1
SLC30A8	0.00771612082358086	-3.41626079667134	0	0.019	1
AC245041.1	0.00771612082358086	-4.27111725515476	0	0.019	1
SHISA9	0.00771612082358086	-3.29172391496858	0	0.019	1
IL17C	0.00771612082358086	-1.95206154338819	0	0.019	1
AP000845.1	0.00771612082358086	-3.48880381866928	0	0.019	1
GATD3B	0.00771612082358086	-4.66682258561266	0	0.019	1
AC012368.2	0.00771612082358086	-2.47773947994258	0	0.019	1
AC114730.2	0.00771612082358086	-2.35898838937826	0	0.019	1
AC006058.1	0.00771612082358086	-2.91663710973843	0	0.019	1
RBM5-AS1	0.00771612082358086	-2.74278579208523	0	0.019	1
AC108863.1	0.00771612082358086	-2.06148765446542	0	0.019	1
AL450306.1	0.00771612082358086	-2.00850819560186	0	0.019	1
AC007496.2	0.00771612082358086	-2.28962400383489	0	0.019	1
Z98885.3	0.00771612082358086	-2.10450915739196	0	0.019	1
RNF39	0.00774431147614004	-0.683446708661866	0.074	0.155	1
ABHD5	0.00775645681693391	-0.808089990768399	0.169	0.284	1
UBL7	0.00776707704977769	2.21814157316537	0.197	0.116	1
PIK3C2A	0.00777002249898171	-0.292098043783735	0.148	0.258	1
ELOA-AS1	0.00777082932860448	1.14886481512646	0.112	0.039	1
AC004812.2	0.0078641238868046	3.61160030036556	0.079	0.019	1
GKAP1	0.00787015791150402	0.44770120146929	0.066	0.142	1
AK8	0.00787659285792912	3.44310955162622	0.057	0.006	1
CABCOCO1	0.00787659285792912	2.9767387569917	0.057	0.006	1
PHTF1	0.007902348353236	3.00162824214444	0.134	0.058	1
SEPT2	0.00791696664457825	0.748340702607281	0.563	0.503	1
CNN3	0.00791711394230866	0.688730428965023	0.525	0.477	1
SCAMP1-AS1	0.0079193863247252	3.96634757472945	0.057	0.006	1
DHRS4	0.0079288310015531	2.06801388201259	0.156	0.077	1
PLAUR	0.00793737213025649	-1.3666136561522	0.167	0.271	1
ITGB6	0.00794223124913382	0.806762325114472	0.336	0.239	1
SF3B6	0.00794294479924037	0.61396903660574	0.585	0.529	1
DFFB	0.00796238790717795	2.54231179446211	0.057	0.006	1
ITPR2	0.00796308949689846	0.569959035815929	0.161	0.077	1
MARVELD2	0.00799084431491999	1.11091048982602	0.199	0.116	1
GTF2I	0.00801035103417101	0.638381863476222	0.525	0.465	1
RAB10	0.00805581947799245	-0.380413604283528	0.391	0.51	1
KCNQ3	0.00807416870202646	1.93269887854781	0.101	0.032	1
LEMD1	0.00807731359701675	1.03400761004474	0.12	0.045	1
ARID4A	0.00808132227650194	0.262298212698319	0.221	0.129	1
STK25	0.00808491445272166	0.387190324431633	0.309	0.232	1
REEP4	0.00811231974029462	0.634582383381892	0.128	0.052	1
RIPK1	0.00812168069363441	0.565987891993424	0.074	0.155	1
N4BP2	0.00812792447549913	-0.455789687445387	0.071	0.148	1
SIAE	0.00815362326071118	1.5743231230443	0.126	0.052	1
NDUFA1	0.00816179179836097	0.532039653716259	0.669	0.69	1
C17orf100	0.00817564226710387	2.41661486541969	0.09	0.026	1
EBF4	0.0081799017562218	-0.531914583699464	0.049	0.116	1
CD164L2	0.00819129994876964	2.3467624879785	0.079	0.019	1
PITPNM2	0.00821161728118564	-0.811647718621244	0.019	0.065	1
FAM92A	0.00821439647539328	2.44349863069098	0.148	0.071	1
AK4	0.00824102194294796	-2.04932742490111	0.03	0.084	1
FAM98B	0.0082509894505695	-0.771094687975482	0.093	0.181	1
MTG2	0.00825129647301442	2.90750847991069	0.098	0.032	1
PPP1R16A	0.00825789906545572	1.50355319822188	0.249	0.161	1
